iter	RMSE
0	14.60234083
1	14.13698492
2	13.68428929
3	13.33489894
4	12.91881191
5	12.55205542
6	12.14751856
7	11.78226205
8	11.41511724
9	11.08371823
10	10.78467859
11	10.45795826
12	10.15187837
13	9.838906938
14	9.556916032
15	9.282782177
16	9.020448339
17	8.790477002
18	8.550415934
19	8.322666773
20	8.102449507
21	7.91539312
22	7.713090325
23	7.516328134
24	7.329176176
25	7.134984891
26	6.949639152
27	6.778431839
28	6.614843878
29	6.460910148
30	6.292916545
31	6.134387726
32	5.999403248
33	5.866743323
34	5.734911946
35	5.608356225
36	5.485696633
37	5.374269457
38	5.2546318
39	5.145745949
40	5.043991955
41	4.946051408
42	4.853262455
43	4.768407267
44	4.686449375
45	4.601879105
46	4.529287229
47	4.447872579
48	4.370691623
49	4.300463054
50	4.239810432
51	4.171844048
52	4.111281745
53	4.054427691
54	4.001736872
55	3.943899851
56	3.888393556
57	3.835823314
58	3.782284684
59	3.733127845
60	3.685151727
61	3.642876564
62	3.599979436
63	3.563909437
64	3.529907181
65	3.49342817
66	3.460229289
67	3.425706612
68	3.39400918
69	3.364708464
70	3.331034561
71	3.299069456
72	3.271638999
73	3.242622203
74	3.215883414
75	3.188673314
76	3.162569218
77	3.141183176
78	3.118430852
79	3.096555339
80	3.076095001
81	3.055316081
82	3.035472394
83	3.014120762
84	2.999591991
85	2.981368431
86	2.965748186
87	2.948871553
88	2.932082467
89	2.915619299
90	2.90084695
91	2.88632642
92	2.874861167
93	2.861194894
94	2.8497251
95	2.837150504
96	2.82558674
97	2.814086213
98	2.80294047
99	2.790963694
100	2.780926457
101	2.772034382
102	2.764744215
103	2.757194063
104	2.747690476
105	2.739186614
106	2.729743289
107	2.722166508
108	2.715196416
109	2.704728438
110	2.698334426
111	2.691554406
112	2.685172101
113	2.678826353
114	2.672117547
115	2.664625839
116	2.657402942
117	2.651894659
118	2.645688694
119	2.638927509
120	2.63068581
121	2.623155634
122	2.617014044
123	2.610672556
124	2.605806756
125	2.601091546
126	2.595009181
127	2.58830805
128	2.583506291
129	2.57868765
130	2.573855692
131	2.570949177
132	2.565487251
133	2.560203556
134	2.555438024
135	2.551241744
136	2.548349556
137	2.544065186
138	2.537801131
139	2.534421635
140	2.530828948
141	2.526906737
142	2.522401258
143	2.518248309
144	2.514508806
145	2.51018637
146	2.506187531
147	2.503512841
148	2.49980026
149	2.495132312
150	2.492448218
151	2.488111298
152	2.484246502
153	2.480216381
154	2.477215557
155	2.474278244
156	2.469781442
157	2.466906408
158	2.464427687
159	2.461542919
160	2.458284438
161	2.453517622
162	2.450628979
163	2.447171694
164	2.443676865
165	2.44192399
166	2.438520378
167	2.436084245
168	2.43317587
169	2.431716906
170	2.429714112
171	2.42542434
172	2.422891674
173	2.41975438
174	2.417877404
175	2.415866183
176	2.4096627
177	2.406275353
178	2.402395781
179	2.39894582
180	2.396283495
181	2.394348504
182	2.391164501
183	2.390836496
184	2.386702339
185	2.386233527
186	2.383079198
187	2.379096766
188	2.377313577
189	2.372720339
190	2.368353491
191	2.364727616
192	2.359829112
193	2.356474175
194	2.352003993
195	2.34861134
196	2.347981368
197	2.346887423
